safe_idx,click_predictions_mean,click_predictions_std,click,opt_prices,payprice,slotprice,payprice_predictions_mean,payprice_predictions_std
406,0,0.356620921,1,3.457906353,64,0,59.93559197,0.350684636
417,1,0.722120793,1,124.9619818,70,70,55.47843555,0.614432481
424,1,0.763228776,1,150.9308727,70,70,52.2107788,0.667782901
428,0,0.999999993,1,1.522208523,30,31,0.000219723,1
435,0,1,1,0.930326187,50,20,1.29E-34,1
439,0,2.89E-06,0,1.265692751,70,70,70,2.89E-06
440,0,0.999999956,1,3.470809048,51,0,12.05558335,0.928063386
444,0,1,1,1.818588716,50,20,1.39E-34,1
447,0,0.999999994,1,0.227013187,50,50,9.87E-05,1
452,0,2.89E-06,0,2.688081955,70,70,70,2.89E-06
453,0,5.00E-06,0,3.48776467,70,70,70,5.00E-06
456,0,0.999999994,1,0.468329979,50,50,9.87E-05,1
463,0,1.00E-05,0,3.435234981,70,70,70,1.00E-05
473,0,5.00E-06,0,2.990391993,70,70,70,5.00E-06
476,0,2.89E-06,0,3.562927884,70,70,70,2.89E-06
492,0,1,1,4.410029129,65,0,57.80538326,0.922386998
503,0,2.89E-06,0,3.080482695,70,70,70,2.89E-06
520,0,1,1,3.820623903,15,0,28.65664722,0.97971696
526,0,0.999999998,1,0.118334377,70,70,5.95E-06,1
542,0,0.999999998,1,-0.444714466,70,70,5.95E-06,1
543,0,0.999997776,1,2.089471015,65,0,37.25511763,0.9654672
562,0,1,1,2.529658595,112,0,42.31652911,0.956794221
563,1,1.00E-05,1,235.8336378,15,5,15,1.00E-05
566,1,1.00E-05,1,234.7312673,143,5,143,1.00E-05
589,0,2.89E-06,0,3.872894279,70,70,70,2.89E-06
591,0,2.89E-06,0,1.483257723,70,70,70,2.89E-06
594,0,7.07E-06,0,2.176030788,64,0,64,7.07E-06
595,0,1,1,-0.699708189,44,5,4.90E-65,1
598,1,0.99524669,1,36.96108607,80,70,38.80698297,0.774880935
602,0,1,1,0.812854531,65,0,57.80538326,0.922386998
623,0,1,1,-0.203031097,69,5,-3.920410105,0.859764672
629,1,1.00E-05,1,231.8400901,59,59,58.99999999,1.00E-05
634,0,1,1,0.072636442,50,20,1.29E-34,1
637,0,0.999999933,1,8.714453931,44,5,126.7364074,0.527940244
643,1,0.901203065,1,106.5044709,70,70,39.08186782,0.866455349
647,0,2.89E-06,0,2.164419771,70,70,70,2.89E-06
653,1,0.998572475,1,15.43722036,65,0,33.8000656,0.893898891
661,0,0.999974595,1,3.88520436,34,0,40.68008734,0.962944498
665,1,0.47092626,1,207.2978649,80,80,74.91948898,0.350684636
686,0,1,1,-0.43118828,143,5,0,1
687,0,5.00E-06,0,3.98540187,70,70,70,5.00E-06
697,1,0.993928135,1,24.33770463,80,80,7.363277957,0.997333007
701,0,2.89E-06,0,1.574165633,70,70,70,2.89E-06
706,1,0.740853822,1,154.1094739,70,70,53.52419239,0.638983588
714,1,0.722120793,1,123.2738507,70,70,55.47843555,0.614432481
724,1,1.00E-05,1,237.1231668,20,5,20,1.00E-05
745,0,5.00E-06,0,1.735223116,70,70,70,5.00E-06
746,0,1.00E-05,0,2.201967173,70,70,70,1.00E-05
762,1,0.684114952,1,169.6805206,70,70,57.60141429,0.570448181
764,1,1.00E-05,1,234.6611983,70,70,70,1.00E-05
766,0,1,1,2.680836885,15,0,28.65664722,0.97971696
784,1,0.977997501,1,40.72869334,148,0,28.75771393,0.945393715
785,1,1.00E-05,1,235.6912695,70,70,69.99999999,1.00E-05
791,0,2.89E-06,0,0.544257682,70,70,70,2.89E-06
794,0,1,1,0.244807324,221,39,1.94E-10,1
807,0,5.00E-06,0,2.875618178,70,70,70,5.00E-06
811,1,0.998973374,1,11.54585584,142,0,9.158276609,0.965107437
822,0,1,1,-1.088393275,50,20,9.24E-35,1
823,0,2.89E-06,0,1.602181488,70,70,70,2.89E-06
826,0,1,1,0.475975269,50,50,1.18E-27,1
838,0,1,1,1.099381054,121,0,54.31778246,0.528849962
849,0,0.999999998,1,-0.78800186,70,70,5.95E-06,1
850,0,0.999980328,1,-0.392928894,51,0,1.650624701,0.999887435
853,0,1.00E-05,0,0.719390922,70,70,70,1.00E-05
859,1,0.353773461,0,8.674277541,70,70,67.74082005,0.252004737
867,1,0.331859856,0,97.5939061,70,70,69.80377699,0.220781403
874,0,1,1,1.783180166,76,0,43.82735378,0.944072463
877,1,0.999880507,1,5.441908216,63,0,10.92560409,0.941320206
880,1,0.977997501,1,38.93981369,148,0,28.75771393,0.945393715
905,0,2.89E-06,0,1.406583886,70,70,70,2.89E-06
919,0,2.89E-06,0,0.751537012,70,70,70,2.89E-06
920,0,0.999980328,1,0.783688443,51,0,1.650624701,0.999887435
944,1,0.993927927,1,19.9938939,80,80,7.363891215,0.997333082
948,0,1,1,-0.00651403,42,5,2.33E-67,1
952,1,0.546615379,1,198.0272485,70,70,63.48309586,0.422692818
956,0,2.89E-06,0,4.972640444,70,70,70,2.89E-06
959,1,0.997346969,1,13.60477605,80,80,4.146260968,0.999215789
970,0,2.89E-06,1,2.204951776,70,70,69.85425285,0.212055505
971,0,5.00E-06,0,1.701960325,70,70,70,5.00E-06
986,1,0.903457597,1,102.5441765,70,70,36.60787604,0.87085927
1014,0,1,1,0.492374475,143,5,0,1
1020,0,2.89E-06,0,1.647208179,70,70,70,2.89E-06
1023,0,0.999980328,1,0.650293526,51,0,1.650624701,0.999887435
1030,1,0.815787783,1,130.9416957,13,5,15.24194111,0.637121827
1037,1,0.915129841,1,104.2173911,70,70,37.38802787,0.878134889
1043,1,1.00E-05,1,231.2062599,150,5,150,1.00E-05
1049,0,0.99999997,1,-1.450312431,41,0,-0.009001409,0.999999878
1052,0,2.89E-06,0,7.402721634,70,70,70,2.89E-06
1053,0,1,1,2.101970084,95,0,50.05104549,0.936746969
1054,0,0.999999933,1,2.04622484,44,5,126.7364074,0.527940244
1065,0,2.89E-06,0,2.146903287,70,70,70,2.89E-06
1085,0,0.999999721,1,1.687561685,46,0,5.451789788,0.999292022
1089,1,0.999923919,1,3.964444758,61,0,23.13678754,0.92633674
1093,0,2.89E-06,0,2.440945664,70,70,70,2.89E-06
1098,0,1.00E-05,0,1.681322836,70,70,70,1.00E-05
1111,0,2.89E-06,0,2.159072952,70,70,70,2.89E-06
1116,0,2.89E-06,0,2.127397349,70,70,70,2.89E-06
1131,0,1,1,0.579483812,201,0,1.093538475,0.962654548
1138,0,1,1,0.504724514,140,140,1.11E-259,1
1140,0,5.00E-06,0,2.928253737,70,70,70,5.00E-06
1143,0,5.00E-06,0,1.566081302,70,70,70,5.00E-06
1147,0,1,1,0.16511589,111,5,-1.487001335,0.995862433
1160,0,2.89E-06,0,2.062552223,70,70,70,2.89E-06
1171,0,5.00E-06,0,1.910611052,70,70,70,5.00E-06
1188,0,0.999998181,1,-0.037776693,145,0,-0.024019363,0.999999124
1197,0,2.89E-06,0,1.166599812,70,70,70,2.89E-06
1222,0,0.999999721,1,0.861870602,46,0,5.451789788,0.999292022
1229,0,2.89E-06,0,2.714211251,70,70,70,2.89E-06
1235,0,1,1,-0.017377701,50,20,1.33E-34,1
1237,0,1,1,2.542977807,95,5,60.94112505,0.904652443
1239,0,1,1,0.574866627,75,70,5.95E-06,1
1240,1,0.740853822,1,153.5215429,70,70,53.52419239,0.638983588
1244,1,0.997346969,1,8.235142878,80,80,4.146260968,0.999215789
1266,1,1.00E-05,1,237.0723303,150,5,150,1.00E-05
1267,1,0.907037897,1,76.93005566,70,70,35.43929085,0.837678816
1281,1,0.903457597,1,103.0350196,70,70,36.60787604,0.87085927
1283,0,2.89E-06,0,1.232364589,70,70,70,2.89E-06
1292,1,0.747126519,1,128.5175847,70,70,50.96649352,0.556588732
1294,0,1.00E-05,0,2.844606339,70,70,70,1.00E-05
1295,1,0.968245888,1,51.20606467,18,0,11.2899768,0.937207945
1296,0,2.89E-06,0,2.117757144,70,70,70,2.89E-06
1308,0,7.07E-06,0,4.21397064,64,0,64,7.07E-06
1316,1,0.740888512,1,155.8838556,70,70,53.66426158,0.639031125
1318,0,1.00E-05,0,3.90830906,70,70,70,1.00E-05
1322,0,1,1,3.860623542,160,70,56.35636417,0.606442734
1326,1,0.331859856,0,103.5695086,70,70,69.80377699,0.220781403
1336,1,0.955594576,1,72.2969629,15,0,15,7.07E-06
1340,0,0.999999992,0,4.918256119,70,70,70,1.56E-06
1343,0,0.999974393,1,-0.332590928,41,0,2.56E-05,1
1345,0,0.999999992,0,5.861931957,70,70,70,1.56E-06
1351,0,0.999999992,0,7.494884991,70,70,70,1.56E-06
1356,0,0.999999992,0,7.022575501,70,70,70,1.56E-06
1367,0,0.999999992,0,7.063288876,70,70,70,3.54E-06
1370,0,1,1,6.402677047,174,5,174,7.07E-06
1384,0,0.999999999,1,7.659030913,75,0,74.99999999,1.00E-05
1394,0,0.999999992,0,8.153684464,70,70,70,1.56E-06
1397,0,1,1,1.013920454,201,0,0.050628451,0.999999809
1409,0,0.999999992,0,8.948986822,70,70,70,7.07E-06
1415,0,1,1,7.919507334,112,0,112,1.00E-05
1423,0,0.999999992,0,7.322648426,70,70,70,1.56E-06
1426,0,1,1,9.4583155,143,5,143,1.00E-05
1443,0,1,1,1.134661863,201,0,0.050628451,0.999999809
1453,0,0.999999992,0,7.886216821,70,70,70,1.56E-06
1454,1,0.985527678,1,47.0870566,20,5,20,7.07E-06
1457,0,1,1,-0.720597506,61,0,0,1
1466,0,0.999999992,1,7.09880919,70,70,58.68349107,0.945534777
1467,0,0.999999992,1,9.563590796,70,70,70.00000001,5.77E-06
1468,0,1,1,8.910589831,160,70,160,1.00E-05
1469,0,0.999999992,0,9.04348934,70,70,70,2.67E-06
1472,0,0.999999992,0,9.355891748,70,70,70,1.56E-06
1484,0,0.999999992,0,9.472446847,70,70,70,1.56E-06
1487,0,0.999999992,0,8.913620215,70,70,70,1.56E-06
1496,1,0.999422042,1,10.6964936,32,5,7.056019505,0.937514775
1508,0,1,1,0.819535272,171,162,0,1
1512,0,0.999999992,0,10.299862,70,70,70,1.56E-06
1515,0,0.999999992,0,9.868872951,70,70,70,3.54E-06
1535,0,0.999999993,1,9.600657716,69,5,24.71312113,0.988480351
1539,0,0.999999936,1,8.645170807,61,0,35.09306532,0.949527831
1543,0,0.999997966,1,10.05268504,50,50,49.99999999,1.00E-05
1544,0,0.999999992,0,8.997693021,70,70,70,1.56E-06
1551,0,1,1,8.944200655,108,70,58.70028305,0.586900503
1553,0,1,1,8.786856495,221,39,221,1.00E-05
1561,0,0.999999992,0,8.863863154,70,70,70,1.56E-06
1562,0,0.999999992,0,8.819113431,70,70,70,1.56E-06
1567,0,1,1,8.011721978,80,80,17.93449258,0.986166234
1582,0,1,1,0.097706754,90,80,4.96E-18,1
1593,0,0.999999999,1,8.449957449,76,0,9.314091688,0.990556914
1594,1,0.982612794,1,50.45469765,18,0,18,1.00E-05
1612,0,0.999999992,1,8.024886838,70,70,39.31555285,0.898328274
1617,0,0.99999998,1,8.618620667,65,0,64.99999999,1.00E-05
1618,0,0.999999992,0,8.320778348,70,70,70,2.67E-06
1619,0,0.999999992,0,8.288236744,70,70,70,1.56E-06
1620,0,0.999999992,1,8.593981775,70,70,39.31555285,0.898328274
1627,0,0.99999867,1,1.551822443,50,20,0.001526698,0.999999999
1638,0,0.999998293,1,8.538805284,50,20,50,7.07E-06
1646,0,1,1,8.584161935,95,5,94.99999999,1.00E-05
1647,0,0.999999992,0,8.696161231,70,70,70,5.77E-06
1658,0,0.999998371,1,9.056113955,50,50,49.99999999,1.00E-05
1660,0,1,1,8.919178226,201,0,201,1.00E-05
1662,0,0.999999992,0,8.150094385,70,70,70,1.56E-06
1664,1,0.964714823,1,71.92786033,15,5,28.53180031,0.937514855
1667,0,0.999999992,0,7.654854089,70,70,70,2.67E-06
1668,0,0.999999992,0,8.029485116,70,70,70,1.56E-06
1677,0,0.999999992,0,8.291931501,70,70,70,1.56E-06
1690,0,1,1,0.624982292,90,80,4.96E-18,1
1694,0,0.999999992,0,7.538672967,70,70,70,2.67E-06
1700,0,0.999999971,0,8.189598591,64,0,64,5.00E-06
1702,0,0.999999992,0,7.559593877,70,70,70,1.56E-06
1704,0,0.999985221,0,9.183152591,44,5,35.62499882,0.586900503
1708,0,0.999999992,0,7.614017695,70,70,70,5.77E-06
1710,0,0.999999992,0,7.680686429,70,70,58.59155319,0.585875083
1712,1,0.999933277,1,0.090802707,38,5,0.059555871,0.999999709
1714,0,1,1,1.315812506,92,80,1.38E-08,1
1725,0,0.999999992,0,7.17079607,70,70,70,1.56E-06
1729,0,0.999999992,0,7.18563893,70,70,70,2.67E-06
1737,1,0.964714823,1,73.30719849,15,5,28.53180031,0.937514855
1743,0,1,1,0.667453018,61,0,0,1
1747,0,1,1,0.324203659,90,80,4.96E-18,1
1748,0,0.999999909,1,7.576329591,61,0,54.11113669,0.950951223
1754,0,0.999999992,0,8.750631404,70,70,70,1.56E-06
1757,0,0.999999992,0,8.154725399,70,70,70,1.56E-06
1759,1,0.999419907,1,17.98693862,30,31,30,1.00E-05
1760,0,0.999999999,1,7.105243521,76,0,8.069470655,0.980274812
1763,0,0.999999992,0,7.710950677,70,70,70,7.07E-06
1766,0,0.999997966,1,9.449681294,50,50,49.99999999,1.00E-05
1769,0,0.999999992,0,8.542212578,70,70,70,1.56E-06
1773,0,1,1,9.490045009,80,70,79.99999999,1.00E-05
1779,0,0.999999992,0,8.55032193,70,70,70,1.56E-06
1780,0,0.999999992,0,9.452378195,70,70,70,1.56E-06
1781,0,1,1,8.883870913,80,80,80,1.00E-05
1787,0,0.999999992,0,8.830004166,70,70,70,2.67E-06
1788,0,0.999997966,1,9.52158422,50,50,49.99999999,1.00E-05
1799,0,1,1,0.062934402,102,5,4.41E-05,1
1807,0,0.999999999,1,8.410871909,75,70,72.50000381,7.07E-06
1809,0,0.999999992,1,8.433145423,70,70,70,1.00E-05
1810,0,0.999999992,0,9.308619891,70,70,70,1.56E-06
1825,0,1,1,0.121934611,92,80,1.38E-08,1
1826,0,0.999999999,1,0.337666996,44,5,6.83E-296,1
1827,0,0.999999992,0,8.592222027,70,70,70,1.56E-06
1828,0,0.999999992,0,8.985426817,70,70,70,1.56E-06
1830,0,1,1,8.879990859,220,0,220,1.00E-05
1832,0,0.999999992,0,8.577818739,70,70,70,3.54E-06
1833,0,0.999999992,0,8.577206326,70,70,70,2.67E-06
1834,0,0.999999992,0,9.047365103,70,70,70,2.67E-06
1840,0,0.999999999,1,0.200683437,44,5,6.83E-296,1
1858,0,1,1,0.345803432,201,0,0.050628451,0.999999809
1867,0,0.999999921,1,9.367290502,59,59,59,7.07E-06
1868,0,0.999999992,0,9.026718498,70,70,70,1.56E-06
1873,1,0.99994656,1,12.09130833,40,5,26.05646109,0.988757188
1882,0,1,1,9.138539708,100,0,25.80624549,0.96579825
1885,0,1,1,8.422902495,148,0,148,7.07E-06
1886,0,0.999999992,1,8.884843809,70,70,39.31555285,0.898328274
1892,0,0.999999992,0,8.897266588,70,70,70,5.77E-06
1893,0,0.999999992,1,8.910360501,70,70,70,5.77E-06
1897,0,0.999999971,1,8.908205431,64,0,64,1.00E-05
1908,0,1,1,9.586323226,221,39,221,1.00E-05
1920,0,0.999999999,1,8.063568305,76,0,8.069470655,0.980274812
1924,0,1,1,9.277722311,80,80,80,1.00E-05
1935,0,0.999999971,0,8.582504827,64,0,64,5.00E-06
1938,0,0.999999992,1,9.323449205,70,70,70,1.00E-05
1949,0,1,1,8.575956536,150,5,150,5.77E-06
1961,0,0.999999921,0,9.79283602,59,59,38.67732021,0.755153681
1971,0,1,1,-0.075097112,80,80,1.75E-12,1
1983,0,0.999999992,0,8.28005265,70,70,70,1.56E-06
1991,0,0.999999992,0,9.014307769,70,70,70,2.67E-06
1993,0,0.999999992,0,9.003593255,70,70,70,1.56E-06
2000,0,0.999999993,1,9.386973333,70,70,70,1.00E-05
2003,0,1,1,8.641315479,80,80,17.93449258,0.986166234
2011,0,1,1,8.994794834,160,70,160,1.00E-05
2024,0,1,1,8.984775768,87,5,19.14976673,0.990998869
2029,0,0.999999992,0,9.413940369,70,70,70,1.56E-06
2033,0,0.999999992,0,8.693774554,70,70,70,1.56E-06
2043,0,1,1,8.361763269,80,70,60.21399396,0.945872023
2048,0,0.999999992,0,8.386537461,70,70,70,3.54E-06
2059,0,1,1,8.321521572,160,70,160,1.00E-05
2062,0,0.999999992,0,8.022024806,70,70,70,1.56E-06
2074,0,0.999998489,1,0.978384149,50,20,1.0634409,0.999749363
2075,0,0.999999992,0,9.125493333,70,70,70,1.56E-06
2080,1,0.992618158,1,10.43723233,22,5,0.983577622,0.999750021
2089,0,0.999998484,1,2.306136111,50,20,1.313098106,0.999617632
2091,0,0.999999992,0,7.956168625,70,70,70,1.56E-06
2092,0,1,1,-0.575159657,92,80,1.38E-08,1
2105,0,0.999999992,0,7.490607402,70,70,70,1.56E-06
2107,0,0.999999992,1,9.106519131,70,70,70,7.07E-06
2108,0,1,1,7.6719748,80,70,79.99999999,1.00E-05
2113,0,0.999999909,1,8.405199295,61,0,54.11113669,0.950951223
2127,0,1,1,8.973266726,221,39,221,1.00E-05
2132,0,0.999999993,1,9.093838266,70,70,70,1.00E-05
2141,0,0.999999992,1,8.392797834,70,70,70,7.07E-06
2149,0,0.999999992,0,9.085787727,70,70,70,3.54E-06
2153,0,0.999985221,1,9.424441289,44,5,44,1.00E-05
2155,0,0.999999992,1,9.535829715,70,70,17.16788656,0.989454674
2156,0,0.999999992,0,8.119617461,70,70,70,1.56E-06
2157,0,0.999999999,1,9.514183398,76,0,9.314091688,0.990556914
2163,0,0.999999992,0,8.127540464,70,70,70,1.56E-06
2168,0,0.999999992,0,9.335360322,70,70,70,1.56E-06
2169,1,0.982612794,1,49.89875878,18,0,18,1.00E-05
2179,0,1,1,9.611406132,80,80,16.22823228,0.989136666
2182,0,0.999999992,0,8.224288226,70,70,70,1.56E-06
2186,0,0.999999992,0,9.750000226,70,70,70,1.56E-06
2197,0,0.999999999,1,8.306631326,76,0,8.069470655,0.980274812
2198,0,0.999998312,1,9.310368817,50,20,50,1.00E-05
2207,0,0.999999992,0,9.478379626,70,70,70,2.67E-06
2210,0,1,1,9.810940006,80,80,80,1.00E-05
2214,0,0.999999992,0,8.422128252,70,70,70,2.67E-06
2222,0,1,1,9.813134779,220,0,220,1.00E-05
2231,0,0.999999992,0,8.430663361,70,70,70,1.56E-06
2266,0,0.999999992,0,9.850121884,70,70,70,1.56E-06
2269,0,1,1,-1.342223686,145,0,0.00021128,1
2279,0,0.999999993,1,8.435929229,70,70,70,1.00E-05
2286,0,1,1,9.822611698,140,140,140,1.00E-05
2299,0,0.999999992,0,8.440104842,70,70,70,2.67E-06
2307,0,1,1,9.859143531,95,5,94.99999999,1.00E-05
2315,0,0.99999867,1,-2.627740327,50,20,0.001526698,0.999999999
2336,0,0.999999992,0,8.476950639,70,70,70,1.56E-06
2347,0,1,1,9.863401759,80,80,34.86326456,0.941539531
2356,0,0.999999992,1,8.477328945,70,70,69.99999999,1.00E-05
2363,0,0.999999992,0,9.873627911,70,70,70,1.00E-05
2366,0,1,1,8.430832325,80,80,80,7.07E-06
2370,0,0.999999992,0,9.846361355,70,70,70,2.67E-06
2376,0,0.999999993,1,8.433354097,70,70,70,7.07E-06
2379,0,1,1,9.805374885,108,70,58.70028305,0.586900503
2382,0,0.999999993,1,8.427232811,70,70,70,1.00E-05
2396,0,1,1,9.822408229,121,0,121,7.07E-06
2400,0,0.999999992,0,8.441794614,70,70,70,1.56E-06
2412,0,0.999999992,0,9.884294335,70,70,70,1.56E-06
2417,0,0.999999999,1,8.442682533,76,0,9.314091688,0.990556914
2418,0,0.999999992,0,9.882015665,70,70,70,1.56E-06
2424,0,1,1,8.434013797,100,0,25.80624549,0.96579825
2426,0,0.999999971,0,9.868858599,64,0,64,5.00E-06
2427,0,0.999999992,0,8.463470519,70,70,70,2.67E-06
2431,0,0.999999992,1,11.25241429,70,70,39.31555285,0.898328274
2436,0,1,1,-0.126933414,70,70,2.02E-14,1
2438,0,0.999999999,0,9.677777294,70,70,70,1.06E-06
2445,0,0.999999999,0,8.965502169,70,70,70,5.00E-06
2460,0,0.999980227,1,5.278005819,39,5,7.798086389,0.996625332
2465,0,0.999999999,0,7.881157274,70,70,70,1.06E-06
2479,0,0.999999999,0,8.55508661,70,70,70,1.06E-06
2487,0,0.999999999,1,10.42954205,70,70,70,7.07E-06
2489,0,0.999999999,1,9.609623183,70,70,70,7.07E-06
2490,0,0.999999997,0,8.449033947,64,0,64,3.78E-06
2492,0,1,1,7.903463474,102,5,102,1.00E-05
2501,0,0.999999999,1,6.573980161,70,70,70,1.00E-05
2505,0,0.999980227,1,6.898610911,39,5,7.798086389,0.996625332
2506,0,0.999999999,0,6.432206698,70,70,70,5.00E-06
2517,0,0.999999426,1,8.132190873,50,20,50,1.00E-05
2519,0,0.999999999,0,7.309797605,70,70,70,1.06E-06
2541,0,1,1,6.895366312,160,70,160,7.07E-06
2550,0,0.999999999,0,6.47100836,70,70,70,1.06E-06
2565,0,1,1,7.272488513,142,0,142,1.00E-05
2569,0,0.999999999,0,6.748107502,70,70,70,1.89E-06
2577,0,0.999999999,0,6.553046811,70,70,70,1.06E-06
2580,0,0.999999999,0,6.500136906,70,70,70,1.06E-06
2581,0,1,1,9.480234267,81,5,12.04935081,0.9907979
2594,1,0.960064572,1,80.41797064,13,5,13,1.00E-05
2600,1,0.999787578,1,13.04282565,30,31,30,7.07E-06
2602,0,0.999999999,0,7.354342216,70,70,70,1.06E-06
2603,0,0.999999999,0,5.512477828,70,70,70,1.06E-06
2614,0,0.999999999,1,5.620242443,70,70,69.99999999,1.00E-05
2619,0,0.999999999,0,6.282836302,70,70,70,1.06E-06
2626,1,0.995878956,1,20.79616879,22,5,22,1.00E-05
2631,0,0.999993611,1,0.056641126,41,0,1.64E-14,1
2632,0,0.999999999,0,8.196465837,70,70,70,1.89E-06
2639,0,0.999999999,0,6.829121011,70,70,70,1.06E-06
2642,1,0.960064572,1,82.80625668,13,5,13,1.00E-05
2646,0,0.999999999,0,9.375792568,70,70,70,1.06E-06
2647,0,0.999999786,0,6.490983255,51,0,10.91755188,0.795060097
2648,0,1,1,-0.067660161,167,5,3.34E-08,1
2656,0,1,1,7.325911672,121,0,121,5.77E-06
2657,0,0.999999999,0,7.876367444,70,70,70,2.77E-06
2667,0,0.999999999,0,8.442942055,70,70,70,1.06E-06
2675,0,0.999999999,0,7.83932102,70,70,70,1.06E-06
2677,0,1,1,7.692539441,81,5,12.04935081,0.9907979
2678,0,0.999999999,1,8.391762165,69,5,68.99999999,1.00E-05
2685,0,0.999999999,0,8.046104018,70,70,70,1.06E-06
2705,0,1,1,8.40474374,174,5,174,5.77E-06
2706,0,1,1,6.665365368,171,162,171,1.00E-05
2709,0,0.999999999,0,7.934330793,70,70,70,2.77E-06
2747,1,0.976274044,1,65.88884634,15,5,15,7.07E-06
2749,0,1,1,8.839910715,80,80,79.99999999,1.00E-05
2752,0,1,1,8.130980091,148,0,148,5.77E-06
2767,0,0.999999999,1,8.170435916,70,70,69.99999999,1.00E-05
2769,0,1,1,8.875523491,80,70,30.41138753,0.970910513
2777,0,0.999999993,1,9.233412177,61,0,60.99999999,1.00E-05
2791,0,1,1,8.504113606,92,80,92,7.07E-06
2794,0,0.999999999,0,9.263477624,70,70,70,1.06E-06
2798,0,1,1,8.558808354,80,70,30.41138753,0.970910513
2799,0,1,1,8.108582027,80,80,80,7.07E-06
2803,0,0.999999999,1,9.532787899,70,70,70,7.07E-06
2809,0,0.999997665,1,9.640647022,44,5,44,7.07E-06
2815,0,0.999999999,0,8.635161553,70,70,70,4.08E-06
2823,0,1,1,8.523203367,87,5,86.99999999,1.00E-05
2829,0,0.999999999,0,9.943632843,70,70,70,1.06E-06
